OBJECTID,Name,Support Centre,Latitude,Longitude,Council Area,Unit Operating Times,Date,Lifesaving Area,x,y
1303,Castlerock,Ballymoney,55.167646,-6.790166,Causeway Coast and Glens,https://rnli.org/find-my-nearest/lifeguarded-beaches/castlerock-beach,2011,IR1,-6.79016599999994,55.167646
1304,Caswell,Swansea,51.570335,-4.034919,Swansea,https://rnli.org/find-my-nearest/lifeguarded-beaches/caswell-beach,2009,WW5,-4.03491899999995,51.5703350000001
1305,Cats and Dogs,Boldon,54.929041,-1.366887,Sunderland,https://rnli.org/find-my-nearest/lifeguarded-beaches/cats-and-dogs-beach,2010,NE1,-1.36688699999996,54.929041
1306,Cayton Bay,Scarborough,54.244681,-0.363846,North Yorkshire,https://rnli.org/find-my-nearest/lifeguarded-beaches/cayton-bay-beach,2013,NE2,-0.363845999999967,54.2446810000001
1307,Challaborough,Kingsbridge,50.288076,-3.897583,South Hams,https://rnli.org/find-my-nearest/lifeguarded-beaches/challaborough-beach,2002,SW2,-3.89758299999994,50.288076
1308,Chapel Porth,Perranporth,50.300272,-5.234343,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/chapel-porth-beach,2002,SW4,-5.23434299999997,50.3002720000001
1309,Clarach,Cardigan,52.433924,-4.079459,Ceredigion,https://rnli.org/find-my-nearest/lifeguarded-beaches/clarach-beach,2009,WW4,-4.07945899999993,52.433924
1310,Coldingham Bay,Glenrothes,55.891985,-2.13511,Scottish Borders,https://rnli.org/find-my-nearest/lifeguarded-beaches/coldingham-bay-beach,2013,SC3,-2.13510999999994,55.891985
1311,Constantine,Padstow,50.532239,-5.022484,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/constantine-beach,2004,SW4,-5.02248399999996,50.5322390000001
1312,Crackington Haven,Bude,50.741219,-4.633766,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/crackington-haven-beach,2004,SW3,-4.63376599999998,50.7412190000001
1313,Cranfield,Ballymoney,54.03011,-6.071845,"Newry City, Mourne and Down District",https://rnli.org/find-my-nearest/lifeguarded-beaches/cranfield-beach,2012,IR1,-6.07184499999994,54.03011
