OBJECTID,Station Type,County,Division,Region,Country,Lifesaving Area,Lifesaving Region,URL,Station,SAP_ID,Lat (DecDeg),(Long (DecDeg),x,y
185,ILB,Dyfed,Wales South & Severn,WalesAndWest,WAL,WW4,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/cardigan-lifeboat-station,Cardigan,8317,52.10474014,-4.69953298999997,-523149.619412987,6819086.01632281
186,ALB,Dyfed,Wales South & Severn,WalesAndWest,WAL,WW4,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/new-quay-lifeboat-station,New Quay (Ceredigion),8325,52.21351242,-4.35761880999996,-485087.907000387,6838823.69091878
187,ILB,Dyfed,Wales South & Severn,WalesAndWest,WAL,WW4,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/aberystwyth-lifeboat-station,Aberystwyth,8358,52.4087524400001,-4.08892583999994,-455177.142400252,6874373.2733204
188,ILB,Dyfed,Wales South & Severn,WalesAndWest,WAL,WW4,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/borth-lifeboat-station,Borth,8379,52.4812011700001,-4.05140208999995,-451000.017657599,6887604.86202002
189,ILB,Gwynedd,Wales South & Severn,WalesAndWest,WAL,WW4,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/aberdovey-lifeboat-station,Aberdovey,8390,52.54315948,-4.04566192999994,-450361.025969325,6898937.84109045
190,ALB,Gwynedd,Wales & North West,WalesAndWest,WAL,WW4,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/barmouth-lifeboat-station,Barmouth,8414,52.7209549,-4.05568217999996,-451476.47509695,6931548.00944551
191,ILB,Gwynedd,Wales & North West,WalesAndWest,WAL,WW4,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/criccieth-lifeboat-station,Criccieth,8420,52.9180641200001,-4.23047875999993,-470934.741374951,6967856.3579225
192,ALB,Gwynedd,Wales & North West,WalesAndWest,WAL,WW3,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/pwllheli-lifeboat-station,Pwllheli,8442,52.8868702570001,-4.40387450899993,-490237.06785935,6962099.33392201
193,ILB,Gwynedd,Wales South & Severn,WalesAndWest,WAL,WW3,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/abersoch-lifeboat-station,Abersoch,8464,52.8264770500001,-4.50444316999994,-501432.319991633,6950965.14932548
194,ALB,Gwynedd,Wales & North West,WalesAndWest,WAL,WW3,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/porthdinllaen-lifeboat-station,Porthdinllaen,8486,52.94698715,-4.56472301999997,-508142.642198731,6973197.9917411
195,ILB,Gwynedd,Wales & North West,WalesAndWest,WAL,WW3,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/trearddur-bay-lifeboat-station,Trearddur Bay,8513,53.2806549100001,-4.61976193999993,-514269.546746938,7035081.15444002
196,ALB,Gwynedd,Wales & North West,WalesAndWest,WAL,WW3,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/holyhead-lifeboat-station,Holyhead,8525,53.3180275,-4.64183616999998,-516726.838790197,7042042.43087469
197,ALB,Gwynedd,Wales & North West,WalesAndWest,WAL,WW3,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/moelfre-lifeboat-station,Moelfre,8537,53.3546638500001,-4.23195695999993,-471099.293846243,7048872.48949782
198,ILB,Gwynedd,Wales & North West,WalesAndWest,WAL,WW3,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/beaumaris-lifeboat-station,Beaumaris,8559,53.26221466,-4.09085416999994,-455391.803113933,7031648.5889871
199,ILB,Clwyd,Wales & North West,WalesAndWest,WAL,WW3,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/conwy-lifeboat-station,Conwy,8560,53.28094101,-3.82638597999994,-425951.338872114,7035134.42226998
200,ALB,Clwyd,Wales & North West,WalesAndWest,WAL,WW3,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/llandudno-lifeboat-station,Llandudno,8571,53.3228833000001,-3.80224999999996,-423264.53386872,7042947.35305034
201,ALB,Clwyd,Wales & North West,WalesAndWest,WAL,WW3,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/rhyl-lifeboat-station,Rhyl,8592,53.32505035,-3.48888611999996,-388381.026314116,7043351.23561815
202,ILB,Clwyd,Wales & North West,WalesAndWest,WAL,WW2,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/flint-lifeboat-station,Flint,8666,53.2505073500001,-3.12846993999995,-348259.680682857,7029470.0965868
203,ALB,Louth,Central,Ireland,IRL,IR2,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/clogher-head-lifeboat-station,Clogherhead,9118,53.7884521500001,-6.23533486999997,-694114.30265394,7130193.03141549
204,ILB,Dublin,Central,Ireland,IRL,IR2,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/skerries-lifeboat-station,Skerries,9129,53.5858268700001,-6.10565185999997,-679678.0560162,7092103.83099453
205,ALB,Dublin,Central,Ireland,IRL,IR2,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/howth-lifeboat-station,Howth,9136,53.3896064800001,-6.06827020999998,-675516.749773189,7055392.26269269
206,ALB,Dublin,Central,Ireland,IRL,IR2,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/dun-laoghaire-lifeboat-station,Dun Laoghaire,9154,53.2936973600001,-6.13104199999998,-682504.473472171,7037509.83923951
207,ALB,Wicklow,Central,Ireland,IRL,IR2,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/wicklow-lifeboat-station,Wicklow,9172,52.98164368,-6.03272485999997,-671559.85951112,6979603.21954474
208,ALB,Wicklow,Central,Ireland,IRL,IR2,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/arklow-lifeboat-station,Arklow,9190,52.7919540400001,-6.14506196999997,-684065.169393507,6944607.3849241
209,ILB,Wexford,Central,Ireland,IRL,IR2,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/courtown-lifeboat-station,Courtown,9200,52.64348984,-6.22582578999993,-693055.756710422,6917323.53995713
210,ILB,Wexford,Central,Ireland,IRL,IR2,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/wexford-lifeboat-station,Wexford,9202,52.34187317,-6.46169900999996,-719313.043452596,6862178.13333012
211,ALB,Wexford,Central,Ireland,IRL,IR3,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/rosslare-harbour-lifeboat-station,Rosslare Harbour,9203,52.25397873,-6.33573722999995,-705291.04224358,6846178.9875862
212,ALB,Wexford,South,Ireland,IRL,IR3,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/kilmore-quay-lifeboat-station,Kilmore Quay,9225,52.1732788100001,-6.58971786999996,-733564.037759731,6831517.33032633
213,ILB,Wexford,South,Ireland,IRL,IR3,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/fethard-lifeboat-station,Fethard,9234,52.18775558,-6.83819818999996,-761224.74045428,6834145.52756
214,ALB,Waterford,South,Ireland,IRL,IR3,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/dunmore-east-lifeboat-station,Dunmore East,9237,52.14705658,-6.99252986999994,-778404.864485149,6826758.97059095
215,ILB,Waterford,South,Ireland,IRL,IR3,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/tramore-lifeboat-station,Tramore,9259,52.1541099500001,-7.16057300999995,-797111.341261253,6828038.61938879
216,ILB,Waterford,South,Ireland,IRL,IR3,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/helvick-head-lifeboat-station,Helvick Head,9267,52.0546112100001,-7.54407214999998,-839802.270245714,6810005.89121492
217,ILB,Cork,South,Ireland,IRL,IR3,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/youghal-lifeboat-station,Youghal,9271,51.95144272,-7.84411811999996,-873203.234840686,6791350.43276782
218,ALB,Cork,South,Ireland,IRL,IR3,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/ballycotton-lifeboat-station,Ballycotton,9292,51.8269615200001,-8.00167560999995,-890742.454398151,6768898.1469161
219,ILB,Cork,South,Ireland,IRL,IR4,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/crosshaven-lifeboat-station,Crosshaven,9298,51.80447388,-8.29796123999995,-923724.819859115,6764848.7423667
220,ILB,Cork,South,Ireland,IRL,IR4,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/kinsale-lifeboat-station,Kinsale,9299,51.70006053,-8.51780391199998,-948197.594160791,6746073.18945716
221,ALB,Cork,South,Ireland,IRL,IR4,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/courtmacsherry-harbour-lifeboat-station,Courtmacsherry Harbour,9300,51.63493729,-8.70929145999997,-969513.890497403,6734384.69236998
222,ILB,Cork,South,Ireland,IRL,IR4,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/union-hall-lifeboat-station,Union Hall,9311,51.5587120800001,-9.13395289999994,-1016786.98575774,6720724.88195268
223,ALB,Cork,South,Ireland,IRL,IR4,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/baltimore-lifeboat-station,Baltimore,9322,51.4877243000001,-9.37198352999997,-1043284.43428254,6708024.21004207
224,ALB,Cork,South,Ireland,IRL,IR4,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/castletownbere-lifeboat-station,Castletownbere,9338,51.6520867400001,-9.90839275999997,-1102997.23662296,6737461.0932355
225,ALB,Kerry,South,Ireland,IRL,IR4,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/valentia-lifeboat-station,Valentia,9344,51.92696762,-10.2881917999999,-1145276.27235953,6786931.02019232
226,ALB,Kerry,South,Ireland,IRL,IR4,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/fenit-lifeboat-station,Fenit,9353,52.2717018100001,-9.86300754999996,-1097944.97815621,6849402.50902018
227,ILB,Tipperary,Central,Ireland,IRL,IR5,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/lough-derg-lifeboat-station,Lough Derg,9357,52.9260788,-8.27562999999998,-921238.917593536,6969336.1871924
228,ILB,Clare,South,Ireland,IRL,IR5,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/kilrush-lifeboat-station,Kilrush,9360,52.6299705500001,-9.50054835999993,-1057596.20569206,6914843.65248618
229,ALB,Galway,Central,Ireland,IRL,IR5,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/aran-islands-lifeboat-station,Aran Islands,9366,53.1198349000001,-9.66784286999996,-1076219.34535778,7005194.96826038
230,ILB,Galway,Central,Ireland,IRL,IR5,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/galway-lifeboat-station,Galway,9371,53.26913834,-9.04687881999996,-1007093.94351085,7032937.22573697
231,ILB,Westmeath,Central,Ireland,IRL,IR5,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/lough-ree-lifeboat-station,Lough Ree,9374,53.464049,-7.92836799999998,-882581.888581682,7069299.99342472
232,ALB,Galway,Central,Ireland,IRL,IR5,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/clifden-lifeboat-station,Clifden,9377,53.486161,-10.050669,-1118835.35521174,7073435.76699248
233,ALB,Mayo,Central,Ireland,IRL,IR5,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/achill-island-lifeboat-station,Achill Island,9380,53.88277435,-9.94461154999993,-1107029.0938829,7147986.34477773
234,ALB,Mayo,Central,Ireland,IRL,IR6,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/ballyglass-lifeboat-station,Ballyglass,9382,54.2537918100001,-9.89318847999994,-1101304.70391547,7218368.70051923
235,ILB,Sligo,North & IOM,Ireland,IRL,IR6,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/sligo-bay-lifeboat-station,Sligo Bay,9384,54.30506516,-8.56790923999995,-953775.293759778,7228145.00065248
236,ILB,Leitrim,North & IOM,Ireland,IRL,IR6,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/bundoran-lifeboat-station,Bundoran,9385,54.4770202600001,-8.28913592999993,-922742.39084382,7261020.89036939
237,ALB,Donegal,North & IOM,Ireland,IRL,IR6,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/arranmore-lifeboat-station,Arranmore,9388,54.9969673200001,-8.49843978999996,-946041.989960091,7361277.55394571
238,ALB,Donegal,North & IOM,Ireland,IRL,IR6,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/lough-swilly-lifeboat-station,Lough Swilly,9584,55.1409034700001,-7.47342776999994,-831938.173836704,7389260.76631368
