OBJECTID,Equipment_ID,Equipment_Name,Current_Location,Current_Lat,Current_Long,Allocated_Location,Allocated_Lat,Allocated_Long,ON_Number,Lifeboat_Number,MMSI,Class,Launch_Method,Product_ID,Model_ID,On_Service_Date,x,y
877,OB02002153,ON1223 Trent ALB Ger Tigchelaar,Arklow ALB,52.79195404,-6.14506197,Arklow ALB,52.79195404,-6.14506197,ON1223,14-19,232002182,Trent,Afloat Boat,AfloatBoat,MK2Trent,30/06/1996,-6.14506196999997,52.7919540400001
878,OB02040735,B-Class A85 Paul and Stella Rowsell,Arran (Lamlash) ILB B,55.53525925,-5.124779224,NULL,NULL,NULL,,B-929,232038625,B-Class,Atlantic 85,Atlantic85,MK3Atlantic85,24/06/2021,-5.12477922399995,55.5352592500001
879,OB02002205,Y-Class Avon / ILC MK1 3-5M,Arranmore ALB,54.99696732,-8.498439789,NULL,NULL,NULL,,Y-157,,Y-Class,Avon / ILC,Avon/ILC,MK13-5M,01/01/1900,-8.49843978899997,54.9969673200001
880,OB02028249,Boat Sillinger 525,Arranmore ALB,54.99696732,-8.498439789,NULL,NULL,NULL,,BB-067,,Boat,Sillinger,Sillinger,Sillinger525,01/10/2018,-8.49843978899997,54.9969673200001
881,OB02006579,D-Class BB ILB Constance Green,Arranmore ALB,54.99696732,-8.498439789,Arranmore Lifeboat Station,54.99696732,-8.498439789,,BB-730,235114902,D-Class,IB1 variant,IB1,MK2BBIB1,01/03/2010,-8.49843978899997,54.9969673200001
882,OB02002144,ON1244 Severn ALB Myrtle Maud,Arranmore ALB,54.99696732,-8.498439789,Arranmore ALB,54.99696732,-8.498439789,ON1244,17-22,232003142,Severn,Afloat Boat,AfloatBoat,MK2MTUSevern,30/06/1999,-8.49843978899997,54.9969673200001
883,OB02007822,Boat Malahide Glass Reinforced Plastic Clinker 19ft,Ballycotton ALB,51.82696152,-8.001675606,Ballycotton Lifeboat Station,51.82696152,-8.001675606,,BB-905,,Boat,Malahide,Malahide,GRPClinker19ft,01/01/2012,-8.00167560599994,51.8269615200001
884,OB02002220,ON1233 Trent ALB Austin Lidbury,Ballycotton ALB,51.82696152,-8.001675606,Ballycotton ALB,51.82696152,-8.001675606,ON1233,14-25,232003131,Trent,Afloat Boat,AfloatBoat,MK2Trent,30/06/1997,-8.00167560599994,51.8269615200001
885,OB02004192,D-Class BB George Bearman,Ballycotton ALB,51.82696152,-8.001675606,Ballycotton Boathouse and Associated Infrastructure,NULL,NULL,,BB-669,,D-Class,IB1 variant,IB1,MK2BBIB1,21/09/2006,-8.00167560599994,51.8269615200001
886,OB02002202,ON1235 Severn ALB  Bryan and Gordon,Ballyglass ALB,54.25379181,-9.893188477,Ballyglass ALB,54.25379181,-9.893188477,ON1235,17-15,232003133,Severn,Afloat Boat,AfloatBoat,MK2MTUSevern,30/06/1997,-9.89318847699997,54.2537918100001
887,OB02028248,Boat Sillinger 525,Ballyglass ALB,54.25379181,-9.893188477,NULL,NULL,NULL,,BB-066,,Boat,Sillinger,Sillinger,Sillinger525,01/10/2018,-9.89318847699997,54.2537918100001
888,OB02006506,Y-Class Avon / ILC MK1 3-5M,Ballyglass ALB,54.25379181,-9.893188477,NULL,NULL,NULL,,Y-229,,Y-Class,Avon / ILC,Avon/ILC,MK13-5M,01/01/1900,-9.89318847699997,54.2537918100001
889,OB02029620,D-Class ILB CLANN LIR,Ballyglass ILB D,54.225822,-9.992245,Ballyglass ILB D,54.225822,-9.992245,,D-823,232012720,D-Class,IB1 variant,IB1,MK2IB1,10/05/2018,-9.99224499999997,54.2258220000001
890,OB02039194,Rescue Water Craft Yamaha VX1050,Ballymoney Support Centre,55.064196,-6.491993,Hastings Support Centre,50.856132,0.591168,,RWC-145,,RWC,Yamaha,Yamaha,VX1050,15/03/2021,-6.49199299999998,55.064196
891,OB02039173,Rescue Water Craft Yamaha VX1050,Ballymoney Support Centre,55.064196,-6.491993,Hastings Support Centre,50.856132,0.591168,,RWC-144,,RWC,Yamaha,Yamaha,VX1050,12/03/2021,-6.49199299999998,55.064196
892,OB02002133,D-Class FRT Brian and Margaret Wiggins,Ballymoney Support Centre,55.064196,-6.491993,NULL,NULL,NULL,,FR-17,,D-Class,EA16 variant,EA16,MK1FRTEA16,01/09/1998,-6.49199299999998,55.064196
893,OB02039226,Rescue Water Craft Yamaha VX1050,Ballymoney Support Centre,55.064196,-6.491993,Ballymoney Support Centre,55.064196,-6.491993,,RWC-151,,RWC,Yamaha,Yamaha,VX1050,16/03/2021,-6.49199299999998,55.064196
894,OB02029109,Rescue Water Craft Yamaha VX1050,Ballymoney Support Centre,55.064196,-6.491993,Ballymoney Support Centre,55.064196,-6.491993,,RWC-124,,RWC,Yamaha,Yamaha,VX1050,26/03/2018,-6.49199299999998,55.064196
895,OB02039195,Rescue Water Craft Yamaha VX1050,Ballymoney Support Centre,55.064196,-6.491993,Ballymoney Support Centre,55.064196,-6.491993,,RWC-146,,RWC,Yamaha,Yamaha,VX1050,15/03/2021,-6.49199299999998,55.064196
896,OB02039196,Rescue Water Craft Yamaha VX1050,Ballymoney Support Centre,55.064196,-6.491993,Ballymoney Support Centre,55.064196,-6.491993,,RWC-147,,RWC,Yamaha,Yamaha,VX1050,15/03/2021,-6.49199299999998,55.064196
897,OB02039197,Rescue Water Craft Yamaha VX1050,Ballymoney Support Centre,55.064196,-6.491993,Ballymoney Support Centre,55.064196,-6.491993,,RWC-148,,RWC,Yamaha,Yamaha,VX1050,15/03/2021,-6.49199299999998,55.064196
898,OB02039198,Rescue Water Craft Yamaha VX1050,Ballymoney Support Centre,55.064196,-6.491993,Ballymoney Support Centre,55.064196,-6.491993,,RWC-149,,RWC,Yamaha,Yamaha,VX1050,15/03/2021,-6.49199299999998,55.064196
899,OB02039199,Rescue Water Craft Yamaha VX1050,Ballymoney Support Centre,55.064196,-6.491993,Ballymoney Support Centre,55.064196,-6.491993,,RWC-150,,RWC,Yamaha,Yamaha,VX1050,15/03/2021,-6.49199299999998,55.064196
900,OB02018025,Rescue Water Craft Yamaha VX1100,Ballymoney Support Centre,55.064196,-6.491993,NULL,NULL,NULL,,RWC-108,,RWC,Yamaha,Yamaha,VX1100,14/03/2016,-6.49199299999998,55.064196
901,OB02016057,Rescue Water Craft Yamaha VX1100,Ballymoney Support Centre,55.064196,-6.491993,NULL,NULL,NULL,,RWC-099,,RWC,Yamaha,Yamaha,VX1100,01/12/2014,-6.49199299999998,55.064196
902,OB02018023,Rescue Water Craft Yamaha VX1100,Ballymoney Support Centre,55.064196,-6.491993,NULL,NULL,NULL,,RWC-106,,RWC,Yamaha,Yamaha,VX1100,11/02/2016,-6.49199299999998,55.064196
903,OB02018024,Rescue Water Craft Yamaha VX1100,Ballymoney Support Centre,55.064196,-6.491993,NULL,NULL,NULL,,RWC-107,,RWC,Yamaha,Yamaha,VX1100,11/02/2016,-6.49199299999998,55.064196
904,OB02016060,Rescue Water Craft Yamaha VX1100,Ballymoney Support Centre,55.064196,-6.491993,NULL,NULL,NULL,,RWC-102,,RWC,Yamaha,Yamaha,VX1100,01/12/2014,-6.49199299999998,55.064196
